sku_id,tienda_id,fecha,region,ciudad,distrito,formato_tienda,canal_venta,cluster_tienda,segmento_cliente_principal,categoria,subcategoria,marca,proveedor,sku_estado,precio_lista,precio_venta,costo_unitario,margen_pct,descuento_pct,stock_actual,stock_seguridad,inventario_transito,dias_inventario,ventas_unidades_7d,ventas_unidades_30d,ventas_valor_30d,unidades_devueltas_30d,rotacion_30d,forecast_7d,forecast_30d,error_forecast_pct,quiebres_7d,quiebres_30d,visitas_tienda_30d,tickets_30d,tasa_conversion_pct,share_categoria_pct,competencia_precio_prom,precio_vs_competencia_pct,elasticidad_precio,promo_activa,tipo_promo,dias_promo_mes,inversion_trade,exhibicion_secundaria,espacio_gondola_cm,puntaje_planograma,cumplimiento_sla_pct,fill_rate_pct,lead_time_dias,frecuencia_reposicion_dias,temperatura_promedio,lluvia_mm_mes,feriado_mes,evento_local,campania_marketing,canal_abastecimiento,nivel_socioeconomico_zona,distancia_cd_km,capacidad_bodega_m3,merma_pct,vencimiento_dias,vida_util_dias,reclamos_30d,rating_cliente,score_tendencia_categoria,prioridad_comercial,riesgo_quiebre_score,target_reponer_sku
SKU-0866,TDA-143,2025-05-20,Lima,Callao,Industrial,Supermercado,Tradicional,Conveniencia,Jovenes,Abarrotes,Arroz,Marca_E,Proveedor_Global,Activo,25.78,21.91,19.28,0.12,0.15,28,19,14,7.4,27,113,2475.83,2,4.04,26,99,0.12,0,2,3940,1562,0.396,0.3,27.33,-0.198,-2.31,1,2x1,7,871.31,0,127.8,0.6,0.899,0.841,8,8,18.0,166.1,0,Ninguno,TV,Cross docking,C,263.5,32.7,0.079,3,30,0,4.2,-0.094,Media,20.9,0
SKU-0447,TDA-151,2025-09-29,Lima,Lima,Comas,Cash&Carry,Tradicional,Descuento,Premium,Bebidas,Agua,Marca_A,Proveedor_Norte,Activo,5.06,5.06,3.79,0.25,0.0,42,36,30,10.4,34,121,612.26,4,2.88,43,151,0.25,0,1,4448,1420,0.319,0.223,5.39,-0.061,-1.0,0,Sin promo,0,0.0,0,122.9,0.98,0.807,0.982,6,4,21.7,103.2,0,Partido,Trade marketing,CD Central,C,64.9,59.7,0.003,150,180,0,3.9,0.514,Baja,33.5,0
SKU-0347,TDA-174,2025-06-20,Norte,Piura,Ate,Hipermercado,Moderno,Medio valor,Premium,Lacteos,Queso,Marca_C,Proveedor_Norte,Nuevo,4.39,4.39,2.41,0.45,0.0,43,15,5,15.0,23,86,377.54,0,2.0,20,75,0.13,0,3,3315,1102,0.332,0.027,4.23,0.038,-0.41,0,Sin promo,0,0.0,0,142.6,0.55,0.99,0.745,5,14,14.2,169.6,0,Campana escolar,Ninguna,Proveedor directo,D,526.1,74.9,0.012,50,60,2,4.2,0.088,Media,33.0,0
SKU-0529,TDA-218,2025-06-28,Lima,Lima,Los Olivos,Supermercado,Mayorista,Conveniencia,Familias,Bebidas,Isotonicas,Marca_A,Proveedor_Pacifico,Activo,7.58,7.58,5.61,0.26,0.0,35,16,16,11.8,21,89,674.62,1,2.54,19,90,0.01,0,1,4860,1564,0.322,0.319,8.57,-0.116,-1.47,0,Sin promo,0,0.0,0,164.9,0.46,0.778,0.743,12,11,23.6,24.5,0,Ninguno,Ninguna,CD Regional,C,675.2,59.2,0.009,437,730,0,4.4,0.165,Media,17.7,0
SKU-0560,TDA-087,2025-08-23,Centro,Huancayo,La Molina,Ecommerce,Online,Alto valor,Familias,Abarrotes,Aceite,Competidor_X,Proveedor_Pacifico,Activo,5.15,3.66,2.05,0.44,0.29,38,14,5,17.8,15,64,234.24,0,1.68,20,80,0.25,0,2,3927,854,0.217,0.152,6.07,-0.397,-0.86,1,Cabecera,13,4871.25,0,99.6,0.95,0.86,0.932,12,8,13.7,132.5,0,Ninguno,TV,CD Central,B,562.5,42.3,0.048,63,365,1,3.3,0.562,Media,33.9,0
SKU-0027,TDA-189,2025-09-09,Lima,Callao,Centro,Hipermercado,Online,Descuento,Mascotas,Limpieza,Lavavajilla,Marca_E,Proveedor_Global,Activo,13.81,12.84,10.53,0.18,0.07,62,49,7,17.4,30,107,1373.88,2,1.73,40,144,0.35,0,2,4625,2119,0.458,0.25,15.79,-0.187,-1.38,1,2x1,9,3981.12,1,99.0,0.64,0.875,0.836,9,4,25.5,19.0,0,Temporada verano,CRM,Cross docking,C,654.3,100.2,0.006,117,180,1,3.4,0.33,Media,51.8,1
SKU-0640,TDA-185,2025-08-02,Oriente,Pucallpa,Industrial,Hipermercado,Mayorista,Medio valor,Jovenes,Bebidas,Jugos,Marca_C,Proveedor_Pacifico,Activo,"5,71",3.88,2.64,0.32,0.32,55,41,24,11.4,31,145,562.6,3,2.64,43,180,0.24,0,4,4570,1020,0.223,0.33,5.53,-0.298,-0.33,1,Combo,15,740.75,1,109.9,0.62,0.846,0.778,4,4,14.1,63.8,0,Ninguno,Digital,CD Regional,D,793.8,88.8,0.015,31,60,1,3.6,-0.327,Baja,38.8,0
SKU-0100,TDA-101,2025-01-21,Lima,Callao,Centro,Ecommerce,Online,Alto valor,Premium,Limpieza,Lavavajilla,Marca_E,Proveedor_Norte,Activo,7.77,6.6,4.69,0.29,0.15,43,15,28,21.9,14,59,389.4,2,1.37,17,67,0.14,0,4,1599,543,0.34,0.275,7.47,-0.116,-0.71,1,Combo,13,3401.65,0,113.4,0.88,0.916,0.9,1,11,22.4,212.8,0,Partido,Trade marketing,CD Regional,D,496.8,27.1,0.05,56,365,1,5.0,-0.318,Baja,23.7,0
SKU-0253,TDA-072,2025-05-21,Norte,Trujillo,Surco,Minimarket,Tradicional,Descuento,Jovenes,Lacteos,Mantequilla,Marca_C,Proveedor_Local,Activo,7.89,7.89,5.37,0.32,0.0,,12,24,10.5,14,63,497.07,2,2.86,17,77,0.22,1,2,2665,641,0.241,0.214,9.43,-0.163,-0.97,0,Sin promo,0,0.0,1,118.5,0.77,0.785,0.894,9,5,26.0,11.5,0,Ninguno,Ninguna,CD Regional,A,468.7,112.1,0.033,350,730,0,4.6,0.296,Baja,24.1,0
SKU-0480,TDA-070,2025-10-18,Lima,Lima,Ate,Supermercado,Tradicional,Medio valor,Jovenes,Snacks,Galletas,Marca_A,Proveedor_Global,Activo,8.58,6.61,4.3,0.35,0.23,35,24,11,9.9,25,106,700.66,4,3.03,26,110,0.04,0,2,2477,644,0.26,0.139,9.14,-0.277,-1.24,1,Combo,14,3494.57,1,38.9,0.62,0.829,0.846,12,14,18.8,25.8,0,Ninguno,Trade marketing,CD Regional,B,115.3,25.2,0.06,77,180,1,4.5,0.121,Media,30.7,0
SKU-0689,TDA-207,2025-02-02,Lima,Lima,Comas,Supermercado,Moderno,Descuento,Familias,Bebidas,Gaseosas,Marca_A,Proveedor_Local,Activo,5.25,3.57,1.86,0.48,0.32,55,33,2,12.5,27,132,471.24,2,2.4,30,115,0.13,1,4,4321,882,0.204,0.367,6.16,-0.42,-2.21,1,Combo,6,974.52,0,104.6,0.84,0.78,0.701,1,6,22.2,158.2,0,Ninguno,Digital,CD Regional,C,133.5,29.1,0.07,4,45,1,3.1,0.539,Media,40.3,0
SKU-0753,TDA-234,2025-08-02,Lima,Callao,Centro,Bodega,Mayorista,Bajo valor,Oficinas,Mascotas,Snacks mascota,Competidor_X,Proveedor_Norte,Activo,41.48,36.92,25.47,0.31,0.11,12,3,3,12.0,0,1,36.92,0,0.08,0,1,0.0,0,3,1649,617,0.374,0.352,48.26,-0.235,-2.3,1,Descuento,4,1415.46,0,116.5,0.92,0.771,0.921,12,12,24.3,105.5,0,Ninguno,Ninguna,CD Regional,E,817.8,21.1,0.08,668,730,1,4.5,0.354,Media,23.4,0
SKU-0671,TDA-242,2025-06-30,Sur,Cusco,La Molina,Ecommerce,Online,Conveniencia,Familias,Lacteos,Mantequilla,Marca_D,Proveedor_Pacifico,Activo,5.88,5.88,4.12,0.3,0.0,17,16,0,6.1,23,84,493.92,1,4.94,14,70,0.17,0,0,1190,467,0.392,0.023,6.1,-0.036,-1.68,0,Sin promo,0,0.0,0,126.7,0.78,0.85,0.841,1,10,24.1,2.6,0,Ninguno,TV,CD Central,C,593.8,56.2,0.075,9,60,0,4.3,0.176,Baja,11.4,0
SKU-0889,TDA-178,2025-04-17,Centro,Ica,Surco,Hipermercado,Moderno,Medio valor,Mascotas,Mascotas,Alimento perro,Marca_B,Proveedor_Global,Activo,56.14,56.14,34.81,0.38,0.0,1,11,17,0.4,17,72,4042.08,1,72.0,13,61,0.15,3,4,4183,851,0.203,0.288,54.9,0.023,-2.29,0,Sin promo,0,0.0,0,32.2,0.78,0.886,0.873,6,2,26.0,172.4,0,Ninguno,Trade marketing,Cross docking,C,578.4,82.0,0.007,96,120,1,3.3,-0.268,Alta,69.9,1
SKU-0702,TDA-098,2025-02-09,Lima,Callao,Surco,Supermercado,Moderno,Conveniencia,Mascotas,Bebidas,Energizantes,Marca_D,Proveedor_Global,Activo,4.17,4.17,2.59,0.38,0.0,26,15,0,8.8,22,89,371.13,2,3.42,16,78,0.12,1,5,4216,931,0.221,0.135,5.01,-0.168,-2.06,0,Sin promo,0,0.0,0,174.3,0.97,0.799,0.902,8,11,29.2,71.7,0,Partido,TV,CD Central,E,171.4,119.7,0.014,29,30,1,3.9,-0.059,Media,40.4,0
SKU-0661,TDA-174,2025-04-24,Sur,Cusco,Comas,Hipermercado,Moderno,Medio valor,Premium,Bebidas,Jugos,Marca_E,Proveedor_Norte,Activo,4.67,4.67,2.8,0.4,0.0,0,19,22,0.0,27,103,481.01,0,103.0,26,111,0.08,4,5,3450,1433,0.415,0.208,4.57,0.022,-2.29,0,Sin promo,0,0.0,0,92.4,0.49,0.732,0.906,1,7,26.3,149.0,0,Temporada verano,Digital,CD Regional,C,282.7,55.8,0.037,231,365,0,4.5,0.307,Media,85.8,1
SKU-0630,TDA-152,2025-03-12,Lima,Lima,Ate,Hipermercado,Moderno,Conveniencia,Ahorro,Bebidas,Agua,Marca_E,Proveedor_Local,Activo,5.45,5.45,3.81,0.3,0.0,12,17,15,3.6,31,100,545.0,3,8.33,20,90,0.1,1,4,2944,651,0.221,0.313,6.58,-0.172,-1.39,0,Sin promo,0,0.0,0,129.6,0.67,0.947,0.842,2,11,12.7,167.4,0,Ninguno,Trade marketing,Proveedor directo,B,389.8,91.2,0.061,27,45,0,2.5,0.192,Baja,64.3,1
SKU-0612,TDA-138,2025-05-22,Lima,Callao,Surco,Bodega,Mayorista,Conveniencia,Familias,Abarrotes,Arroz,Marca B,Proveedor_Local,Descontinuado,30.88,21.31,16.83,0.21,0.31,5,12,2,4.8,9,31,660.61,1,6.2,11,39,0.26,1,1,534,207,0.388,0.336,31.44,-0.322,-1.43,SI,Cupon,3,4357.65,0,34.9,0.97,0.891,0.902,2,14,23.8,47.9,0,Ninguno,TV,Proveedor directo,D,288.4,72.7,0.045,576,730,3,4.6,0.412,Alta,72.7,1
SKU-0136,TDA-152,2025-04-28,Lima,Callao,Miraflores,Hipermercado,Moderno,Conveniencia,Oficinas,Bebidas,Isotonicas,Marca_Propia,Proveedor_Pacifico,Activo,4.3,4.3,3.61,0.16,0.0,87,28,22,24.2,22,108,464.4,0,1.24,36,132,0.22,0,3,4644,1325,0.285,0.097,4.85,-0.113,-0.48,0,Sin promo,0,0.0,0,90.8,0.57,0.962,0.741,2,11,28.1,77.3,0,Partido,Digital,Proveedor directo,C,212.4,75.3,0.058,94,120,1,4.6,-0.048,Media,28.6,0
SKU-0408,TDA-130,2025-09-19,Lima,Callao,Comas,Minimarket,Moderno,Conveniencia,Ahorro,Abarrotes,Aceite,Marca_C,Proveedor_Andes,Activo,32.55,32.55,26.69,0.18,0.0,2,5,10,2.0,4,17,553.35,1,8.5,5,19,0.12,1,2,2532,800,0.316,0.239,31.39,0.037,-0.87,0,Sin promo,0,0.0,0,39.1,0.83,0.909,0.748,6,10,23.4,181.0,0,Ninguno,CRM,Proveedor directo,D,102.1,108.8,0.027,101,365,0,4.4,0.362,Media,65.5,1
SKU-0278,TDA-212,2025-08-27,Lima,Callao,San Isidro,Bodega,Mayorista,Alto valor,Ahorro,Bebidas,Jugos,Marca_A,Proveedor_Local,Activo,7.2,7.2,5.54,0.23,0.0,25,21,0,10.3,17,73,525.6,3,2.92,19,70,0.04,0,4,3199,1306,0.408,0.108,6.14,0.173,-1.6,0,Sin promo,0,0.0,0,75.4,0.9,0.957,0.976,1,14,26.5,186.8,0,Ninguno,Trade marketing,CD Regional,C,817.1,116.9,0.011,14,120,3,4.6,0.351,Media,45.3,0
SKU-0213,TDA-116,2025-12-31,Lima,Callao,San Isidro,Hipermercado,Online,Medio valor,Jovenes,Snacks,Papas,Marca_B,Proveedor_Global,Activo,4.11,4.11,2.88,0.3,0.0,12,19,16,3.8,26,94,386.34,1,7.83,27,89,0.05,1,2,4081,1691,0.414,0.1,3.79,0.084,-1.62,0,Sin promo,0,0.0,0,170.0,0.5,0.878,0.966,2,2,33.9,43.5,0,Partido,Ninguna,Proveedor directo,B,801.1,13.7,0.074,300,365,1,4.2,-0.321,Media,54.5,1
SKU-0277,TDA-047,2025-04-30,Lima,Lima,Miraflores,Cash&Carry,Online,Alto valor,Oficinas,Bebidas,Isotonicas,Marca_E,Proveedor_Global,Activo,7.84,5.88,4.59,0.22,0.25,50,55,12,9.6,29,157,923.16,5,3.14,47,212,0.35,0,4,4585,1263,0.275,0.286,7.7,-0.236,-1.2,1,Combo,7,2859.23,1,178.1,0.93,0.853,0.79,8,2,14.0,51.2,0,Ninguno,Ninguna,Proveedor directo,E,172.8,22.6,0.057,14,180,0,,-0.239,Media,69.9,1
SKU-0872,TDA-198,2025-09-12,Oriente,Iquitos,Los Olivos,Bodega,Mayorista,Descuento,Familias,Mascotas,Alimento gato,Marca_Propia,Proveedor_Norte,Activo,19.53,19.53,15.43,0.21,0.0,0,3,0,0.0,4,14,273.42,0,14.0,3,12,0.14,2,3,1365,568,0.416,0.279,16.95,0.152,-1.54,0,Sin promo,0,0.0,0,46.6,0.67,0.958,0.802,7,3,30.2,173.5,0,Concierto,Digital,CD Regional,C,679.7,11.7,0.002,114,120,0,,-0.18,Media,75.3,1
SKU-0641,TDA-154,2025-07-23,Norte,Trujillo,Miraflores,Supermercado,Tradicional,Conveniencia,Familias,Mascotas,Snacks mascota,Competidor_X,Proveedor_Andes,Activo,46.62,46.62,36.36,0.22,0.0,0,6,2,0.0,8,35,1631.7,1,35.0,8,35,0.0,1,1,4644,955,0.206,0.144,48.97,-0.048,-0.36,0,Sin promo,0,0.0,0,108.6,0.9,0.941,0.821,9,12,31.1,104.5,0,Ninguno,Ninguna,Cross docking,E,607.7,64.2,0.072,10,60,2,4.8,0.622,Baja,63.2,1
SKU-0577,TDA-200,2025-03-30,Lima,Callao,Centro,Cash&Carry,Mayorista,Alto valor,Oficinas,Snacks,Frutos secos,Marca_E,Proveedor_Norte,Activo,4.39,3.38,2.13,0.37,0.23,103,44,16,17.6,33,176,594.88,0,1.71,53,227,0.29,0,2,3199,1244,0.389,0.055,5.14,-0.342,-2.2,1,Cabecera,13,1420.16,1,123.3,0.55,0.777,0.939,12,9,28.7,190.8,0,Ninguno,Digital,CD Central,C,431.8,23.2,0.068,8,30,2,4.7,-0.149,Alta,19.9,0
SKU-0276,TDA-167,2025-06-06,Lima,Lima,Miraflores,Bodega,Moderno,Descuento,Jovenes,Bebidas,Gaseosas,Marca_B,Proveedor_Global,Activo,6.28,6.28,4.9,0.22,0.0,11,18,7,3.8,21,87,546.36,3,7.91,18,80,0.08,2,4,1576,549,0.348,0.234,5.99,0.048,-0.99,0,Sin promo,0,0.0,0,73.8,0.6,0.808,0.78,11,13,32.9,143.3,0,Ninguno,Digital,CD Central,D,682.4,75.2,0.053,44,60,1,4.5,0.069,Media,60.6,1
SKU-0381,TDA-067,2025-12-15,Norte,Chiclayo,San Isidro,Bodega,Mayorista,Alto valor,Oficinas,Lacteos,Yogurt,Marca_D,Proveedor_Pacifico,Activo,9.49,8.83,5.03,0.43,0.07,9,11,7,5.3,10,51,450.33,1,5.67,11,46,0.1,1,4,459,126,0.275,0.041,9.65,-0.085,-2.04,1,Descuento,8,2498.93,0,34.1,0.78,0.891,0.817,8,8,12.1,117.4,0,Temporada verano,TV,CD Regional,A,5.5,90.2,0.018,58,180,0,5,0.153,Media,69.9,1
SKU-0639,TDA-013,2025-05-10,Norte,Trujillo,San Isidro,Bodega,Moderno,Alto valor,Oficinas,Lacteos,Mantequilla,Marca_D,Proveedor_Local,Activo,11.06,S/ 8.18,5.32,0.35,0.26,33,8,15,24.1,11,41,335.38,0,1.24,10,39,0.05,0,0,2405,792,0.329,0.239,12.58,-0.35,-0.67,1,Descuento,14,3546.84,1,26.3,0.72,0.776,0.971,6,5,12.1,147.8,0,Partido,CRM,Cross docking,B,78.4,65.3,0.058,41,45,1,2.6,-0.086,Alta,22.1,0
SKU-0136,TDA-179,2025-07-03,Sur,Arequipa,San Isidro,Bodega,Tradicional,Alto valor,Ahorro,Limpieza,Papel,Marca_B,Proveedor_Norte,Activo,29.84,29.84,16.71,0.44,0.0,,15,8,13.1,14,48,1432.32,1,2.29,15,62,0.29,0,4,1740,608,0.349,0.372,32.76,-0.089,-1.76,0,Sin promo,0,0.0,0,132.1,0.5,0.899,0.772,6,12,26.9,84.7,0,Ninguno,Trade marketing,CD Central,A,794.3,64.6,0.038,635,730,0,3.4,0.142,Media,41.5,0
SKU-0056,TDA-210,2025-12-04,Lima,Callao,Ate,Bodega,Tradicional,Medio valor,Familias,Abarrotes,Fideos,Marca_Propia,Proveedor_Local,Activo,10.87,10.87,6.3,0.42,0.0,10,11,4,5.3,14,57,619.59,0,5.7,14,68,0.19,0,1,373,81,0.217,0.327,10.11,0.075,-0.69,0,Sin promo,0,0.0,0,74.1,0.86,0.733,0.884,11,11,14.7,196.2,0,Ninguno,Trade marketing,CD Regional,E,5.7,90.5,0.044,307,365,1,2.9,-0.173,Media,55.9,1
SKU-0354,TDA-236,2025-10-26,Sur,Tacna,Los Olivos,Bodega,Tradicional,Conveniencia,Jovenes,Snacks,Papas,Competidor_X,Proveedor_Global,Activo,7.49,7.49,5.47,0.27,0.0,16,14,5,11.2,12,43,322.07,0,2.69,12,54,0.26,0,1,1476,701,0.475,0.266,6.77,0.106,-2.36,0,Sin promo,0,0.0,0,52.6,0.74,0.817,0.831,10,12,28.3,190.3,0,Ninguno,Digital,Proveedor directo,D,41.8,50.7,0.033,174,180,0,5,0.394,Alta,43.2,0
SKU-0053,TDA-199,2025-09-24,Oriente,Pucallpa,La Molina,Minimarket,Tradicional,Medio valor,Mascotas,Bebidas,Energizantes,Marca_E,Proveedor_Pacifico,Temporal,2.41,2.41,1.76,0.27,0.0,8,9,5,4.9,10,49,118.09,2,6.12,10,45,0.08,0,0,816,175,0.214,0.145,2.26,0.066,-1.09,0,Sin promo,0,0.0,0,59.0,0.47,0.959,0.811,2,8,17.6,159.3,1,Ninguno,TV,Cross docking,C,253.4,81.0,0.026,43,45,0,4.8,-0.343,Alta,63.2,1
